iteration,latency_ns,latency_ms,precision,threads,kernels
0,922175,0.922175,double,2,10
1,872134,0.872134,double,2,10
2,869025,0.869025,double,2,10
3,869486,0.869486,double,2,10
4,873190,0.87319,double,2,10
5,880302,0.880302,double,2,10
6,865215,0.865215,double,2,10
7,871346,0.871346,double,2,10
8,868875,0.868875,double,2,10
9,868871,0.868871,double,2,10
10,873109,0.873109,double,2,10
11,870034,0.870034,double,2,10
12,879917,0.879917,double,2,10
13,870087,0.870087,double,2,10
14,872275,0.872275,double,2,10
15,869148,0.869148,double,2,10
16,878153,0.878153,double,2,10
17,874520,0.87452,double,2,10
18,871648,0.871648,double,2,10
19,866936,0.866936,double,2,10
20,863196,0.863196,double,2,10
21,867791,0.867791,double,2,10
22,869886,0.869886,double,2,10
23,872561,0.872561,double,2,10
24,866840,0.86684,double,2,10
25,867168,0.867168,double,2,10
26,868865,0.868865,double,2,10
27,864143,0.864143,double,2,10
28,866026,0.866026,double,2,10
29,864290,0.86429,double,2,10
30,861476,0.861476,double,2,10
31,865174,0.865174,double,2,10
32,866820,0.86682,double,2,10
33,865417,0.865417,double,2,10
34,872581,0.872581,double,2,10
35,872952,0.872952,double,2,10
36,874661,0.874661,double,2,10
37,866662,0.866662,double,2,10
38,868240,0.86824,double,2,10
39,1168858,1.168858,double,2,10
40,888578,0.888578,double,2,10
41,1038953,1.038953,double,2,10
42,977640,0.97764,double,2,10
43,889755,0.889755,double,2,10
44,876592,0.876592,double,2,10
45,899329,0.899329,double,2,10
46,877078,0.877078,double,2,10
47,878279,0.878279,double,2,10
48,897092,0.897092,double,2,10
49,893919,0.893919,double,2,10
50,955898,0.955898,double,2,10
51,866354,0.866354,double,2,10
52,870137,0.870137,double,2,10
53,874204,0.874204,double,2,10
54,869684,0.869684,double,2,10
55,870762,0.870762,double,2,10
56,867772,0.867772,double,2,10
57,865490,0.86549,double,2,10
58,865014,0.865014,double,2,10
59,865828,0.865828,double,2,10
60,864984,0.864984,double,2,10
61,866952,0.866952,double,2,10
62,871041,0.871041,double,2,10
63,869408,0.869408,double,2,10
64,872660,0.87266,double,2,10
65,867637,0.867637,double,2,10
66,868666,0.868666,double,2,10
67,872826,0.872826,double,2,10
68,865787,0.865787,double,2,10
69,865799,0.865799,double,2,10
70,870111,0.870111,double,2,10
71,869142,0.869142,double,2,10
72,886767,0.886767,double,2,10
73,865778,0.865778,double,2,10
74,866834,0.866834,double,2,10
75,865090,0.86509,double,2,10
76,877738,0.877738,double,2,10
77,873313,0.873313,double,2,10
78,867070,0.86707,double,2,10
79,1017584,1.017584,double,2,10
80,955245,0.955245,double,2,10
81,872125,0.872125,double,2,10
82,867134,0.867134,double,2,10
83,873184,0.873184,double,2,10
84,863131,0.863131,double,2,10
85,871044,0.871044,double,2,10
86,869086,0.869086,double,2,10
87,869320,0.86932,double,2,10
88,869031,0.869031,double,2,10
89,870027,0.870027,double,2,10
90,871075,0.871075,double,2,10
91,865292,0.865292,double,2,10
92,861643,0.861643,double,2,10
93,866213,0.866213,double,2,10
94,868049,0.868049,double,2,10
95,868420,0.86842,double,2,10
96,865799,0.865799,double,2,10
97,872884,0.872884,double,2,10
