iteration,latency_ns,latency_ms,precision,threads,kernels
0,1100280,1.10028,double,1,10
1,1101821,1.101821,double,1,10
2,1097533,1.097533,double,1,10
3,1096267,1.096267,double,1,10
4,1100206,1.100206,double,1,10
5,1105569,1.105569,double,1,10
6,1104802,1.104802,double,1,10
7,1095771,1.095771,double,1,10
8,1124613,1.124613,double,1,10
9,1126857,1.126857,double,1,10
10,1125004,1.125004,double,1,10
11,1096425,1.096425,double,1,10
12,1097054,1.097054,double,1,10
13,1099877,1.099877,double,1,10
14,1131751,1.131751,double,1,10
15,1164881,1.164881,double,1,10
16,1178599,1.178599,double,1,10
17,1117089,1.117089,double,1,10
18,1107520,1.10752,double,1,10
19,1101097,1.101097,double,1,10
20,1103211,1.103211,double,1,10
21,1095330,1.09533,double,1,10
22,1111709,1.111709,double,1,10
23,1100042,1.100042,double,1,10
24,1100827,1.100827,double,1,10
25,1096847,1.096847,double,1,10
26,1096542,1.096542,double,1,10
27,1098753,1.098753,double,1,10
28,1103196,1.103196,double,1,10
29,1101553,1.101553,double,1,10
30,1095475,1.095475,double,1,10
31,1096752,1.096752,double,1,10
32,1099390,1.09939,double,1,10
33,1102121,1.102121,double,1,10
34,1096082,1.096082,double,1,10
35,1095732,1.095732,double,1,10
36,1117642,1.117642,double,1,10
37,1104444,1.104444,double,1,10
38,1097210,1.09721,double,1,10
39,1100229,1.100229,double,1,10
40,1103473,1.103473,double,1,10
41,1109409,1.109409,double,1,10
42,1104350,1.10435,double,1,10
43,1102945,1.102945,double,1,10
44,1096723,1.096723,double,1,10
45,1099960,1.09996,double,1,10
46,1105610,1.10561,double,1,10
47,1101005,1.101005,double,1,10
48,1096840,1.09684,double,1,10
49,1096544,1.096544,double,1,10
50,1098739,1.098739,double,1,10
51,1096457,1.096457,double,1,10
52,1099577,1.099577,double,1,10
53,1098596,1.098596,double,1,10
54,1100061,1.100061,double,1,10
55,1103270,1.10327,double,1,10
56,1100800,1.1008,double,1,10
57,1096754,1.096754,double,1,10
58,1104432,1.104432,double,1,10
59,1104559,1.104559,double,1,10
60,1101071,1.101071,double,1,10
61,1096496,1.096496,double,1,10
62,1096573,1.096573,double,1,10
63,1124864,1.124864,double,1,10
64,1100916,1.100916,double,1,10
65,1095791,1.095791,double,1,10
66,1097715,1.097715,double,1,10
67,1100058,1.100058,double,1,10
68,1096277,1.096277,double,1,10
69,1096062,1.096062,double,1,10
70,1099273,1.099273,double,1,10
71,1096336,1.096336,double,1,10
72,1110707,1.110707,double,1,10
73,1109401,1.109401,double,1,10
74,1128544,1.128544,double,1,10
75,1130564,1.130564,double,1,10
76,1105044,1.105044,double,1,10
77,1096365,1.096365,double,1,10
78,1099973,1.099973,double,1,10
79,1146033,1.146033,double,1,10
80,1102726,1.102726,double,1,10
81,1098850,1.09885,double,1,10
82,1098831,1.098831,double,1,10
83,1096500,1.0965,double,1,10
84,1095961,1.095961,double,1,10
85,1098380,1.09838,double,1,10
86,1096616,1.096616,double,1,10
87,1098622,1.098622,double,1,10
88,1105759,1.105759,double,1,10
89,1101454,1.101454,double,1,10
90,1095891,1.095891,double,1,10
91,1101800,1.1018,double,1,10
92,1096129,1.096129,double,1,10
93,1098799,1.098799,double,1,10
94,1101969,1.101969,double,1,10
95,1103649,1.103649,double,1,10
96,1101374,1.101374,double,1,10
97,1095969,1.095969,double,1,10
98,1096205,1.096205,double,1,10
99,1100425,1.100425,double,1,10
100,1099769,1.099769,double,1,10
101,1103820,1.10382,double,1,10
102,1097384,1.097384,double,1,10
103,1097705,1.097705,double,1,10
104,1100962,1.100962,double,1,10
105,1097700,1.0977,double,1,10
106,1110988,1.110988,double,1,10
107,1097260,1.09726,double,1,10
108,1098040,1.09804,double,1,10
109,1110132,1.110132,double,1,10
110,1115145,1.115145,double,1,10
111,1153897,1.153897,double,1,10
112,1108815,1.108815,double,1,10
113,1109008,1.109008,double,1,10
114,1095884,1.095884,double,1,10
115,1095442,1.095442,double,1,10
116,1101219,1.101219,double,1,10
117,1097029,1.097029,double,1,10
118,1099579,1.099579,double,1,10
119,1111303,1.111303,double,1,10
120,1096126,1.096126,double,1,10
121,1096037,1.096037,double,1,10
122,1099257,1.099257,double,1,10
123,1096675,1.096675,double,1,10
124,1096231,1.096231,double,1,10
125,1099135,1.099135,double,1,10
126,1096243,1.096243,double,1,10
127,1095554,1.095554,double,1,10
128,1099059,1.099059,double,1,10
129,1095986,1.095986,double,1,10
130,1101199,1.101199,double,1,10
131,1272498,1.272498,double,1,10
132,1101771,1.101771,double,1,10
133,1106355,1.106355,double,1,10
134,1103873,1.103873,double,1,10
135,1096596,1.096596,double,1,10
136,1095854,1.095854,double,1,10
137,1098978,1.098978,double,1,10
138,1099041,1.099041,double,1,10
139,1099918,1.099918,double,1,10
140,1096183,1.096183,double,1,10
141,1099102,1.099102,double,1,10
142,1096213,1.096213,double,1,10
143,1098635,1.098635,double,1,10
144,1095487,1.095487,double,1,10
145,1102942,1.102942,double,1,10
146,1100313,1.100313,double,1,10
147,1096832,1.096832,double,1,10
148,1126956,1.126956,double,1,10
149,1104736,1.104736,double,1,10
150,1096655,1.096655,double,1,10
151,1101112,1.101112,double,1,10
152,1096503,1.096503,double,1,10
153,1096427,1.096427,double,1,10
154,1096682,1.096682,double,1,10
155,1098129,1.098129,double,1,10
156,1095908,1.095908,double,1,10
157,1102147,1.102147,double,1,10
158,1096627,1.096627,double,1,10
159,1099815,1.099815,double,1,10
160,1096102,1.096102,double,1,10
161,1096598,1.096598,double,1,10
162,1099876,1.099876,double,1,10
163,1104495,1.104495,double,1,10
164,1110595,1.110595,double,1,10
165,1096324,1.096324,double,1,10
166,1096000,1.096,double,1,10
167,1110407,1.110407,double,1,10
168,1096347,1.096347,double,1,10
169,1100765,1.100765,double,1,10
170,1102858,1.102858,double,1,10
171,1101180,1.10118,double,1,10
172,1096157,1.096157,double,1,10
173,1096057,1.096057,double,1,10
174,1099065,1.099065,double,1,10
175,1095352,1.095352,double,1,10
176,1099051,1.099051,double,1,10
177,1102366,1.102366,double,1,10
178,1096335,1.096335,double,1,10
179,1106214,1.106214,double,1,10
180,1095710,1.09571,double,1,10
181,1096257,1.096257,double,1,10
182,1099309,1.099309,double,1,10
183,1095556,1.095556,double,1,10
184,1096539,1.096539,double,1,10
185,1104925,1.104925,double,1,10
186,1103743,1.103743,double,1,10
187,1102500,1.1025,double,1,10
188,1096298,1.096298,double,1,10
189,1100967,1.100967,double,1,10
190,1095866,1.095866,double,1,10
191,1096737,1.096737,double,1,10
192,1095990,1.09599,double,1,10
193,1099062,1.099062,double,1,10
194,1096926,1.096926,double,1,10
195,1095182,1.095182,double,1,10
196,1107239,1.107239,double,1,10
197,1102084,1.102084,double,1,10
198,1096112,1.096112,double,1,10
199,1104021,1.104021,double,1,10
200,1096846,1.096846,double,1,10
201,1102817,1.102817,double,1,10
202,1112789,1.112789,double,1,10
203,1104927,1.104927,double,1,10
204,1102689,1.102689,double,1,10
205,1098016,1.098016,double,1,10
206,1096110,1.09611,double,1,10
207,1102368,1.102368,double,1,10
208,1095895,1.095895,double,1,10
209,1100068,1.100068,double,1,10
210,1104852,1.104852,double,1,10
211,1100189,1.100189,double,1,10
212,1095989,1.095989,double,1,10
213,1099192,1.099192,double,1,10
214,1096373,1.096373,double,1,10
215,1096627,1.096627,double,1,10
216,1100105,1.100105,double,1,10
217,1102326,1.102326,double,1,10
218,1096921,1.096921,double,1,10
219,1096490,1.09649,double,1,10
220,1099311,1.099311,double,1,10
221,1097054,1.097054,double,1,10
222,1106318,1.106318,double,1,10
223,1096412,1.096412,double,1,10
224,1107811,1.107811,double,1,10
225,1096106,1.096106,double,1,10
226,1096864,1.096864,double,1,10
227,1101722,1.101722,double,1,10
228,1096446,1.096446,double,1,10
229,1099046,1.099046,double,1,10
230,1096646,1.096646,double,1,10
231,1095537,1.095537,double,1,10
232,1099466,1.099466,double,1,10
233,1096474,1.096474,double,1,10
234,1095954,1.095954,double,1,10
235,1099727,1.099727,double,1,10
236,1104307,1.104307,double,1,10
237,1104457,1.104457,double,1,10
238,1109124,1.109124,double,1,10
239,1113102,1.113102,double,1,10
240,1106550,1.10655,double,1,10
241,1119295,1.119295,double,1,10
242,1105040,1.10504,double,1,10
243,1088019,1.088019,double,1,10
244,1094710,1.09471,double,1,10
245,1099116,1.099116,double,1,10
246,1102878,1.102878,double,1,10
247,1095317,1.095317,double,1,10
248,1096830,1.09683,double,1,10
249,1100384,1.100384,double,1,10
250,1096929,1.096929,double,1,10
251,1099502,1.099502,double,1,10
252,1096369,1.096369,double,1,10
253,1097153,1.097153,double,1,10
254,1110331,1.110331,double,1,10
255,1106114,1.106114,double,1,10
256,1103072,1.103072,double,1,10
257,1105548,1.105548,double,1,10
258,1104808,1.104808,double,1,10
259,1096462,1.096462,double,1,10
260,1134574,1.134574,double,1,10
261,1110125,1.110125,double,1,10
262,1096601,1.096601,double,1,10
263,1096093,1.096093,double,1,10
264,1099431,1.099431,double,1,10
265,1100648,1.100648,double,1,10
266,1096577,1.096577,double,1,10
267,1100230,1.10023,double,1,10
268,1095805,1.095805,double,1,10
269,1107779,1.107779,double,1,10
270,1103399,1.103399,double,1,10
271,1097085,1.097085,double,1,10
272,1099209,1.099209,double,1,10
273,1096226,1.096226,double,1,10
274,1096077,1.096077,double,1,10
275,1101553,1.101553,double,1,10
276,1109782,1.109782,double,1,10
