iteration,latency_ns,latency_ms,precision,threads,kernels
0,1150262,1.150262,double,1,10
1,1103991,1.103991,double,1,10
2,1103930,1.10393,double,1,10
3,1113724,1.113724,double,1,10
4,1108237,1.108237,double,1,10
5,1103636,1.103636,double,1,10
6,1104298,1.104298,double,1,10
7,1111187,1.111187,double,1,10
8,1104492,1.104492,double,1,10
9,1107736,1.107736,double,1,10
10,1104101,1.104101,double,1,10
11,1103659,1.103659,double,1,10
12,1107697,1.107697,double,1,10
13,1119953,1.119953,double,1,10
14,1108578,1.108578,double,1,10
15,1103964,1.103964,double,1,10
16,1104137,1.104137,double,1,10
17,1110462,1.110462,double,1,10
18,1104414,1.104414,double,1,10
19,1107292,1.107292,double,1,10
20,1105855,1.105855,double,1,10
21,1105314,1.105314,double,1,10
22,1104443,1.104443,double,1,10
23,1113702,1.113702,double,1,10
24,1118794,1.118794,double,1,10
25,1110681,1.110681,double,1,10
26,1111477,1.111477,double,1,10
27,1136886,1.136886,double,1,10
28,1102875,1.102875,double,1,10
29,1103271,1.103271,double,1,10
30,1106012,1.106012,double,1,10
31,1103073,1.103073,double,1,10
32,1103980,1.10398,double,1,10
33,1106754,1.106754,double,1,10
34,1104286,1.104286,double,1,10
35,1110824,1.110824,double,1,10
36,1107928,1.107928,double,1,10
37,1106696,1.106696,double,1,10
38,1108323,1.108323,double,1,10
39,1105044,1.105044,double,1,10
40,1107391,1.107391,double,1,10
41,1104751,1.104751,double,1,10
42,1105145,1.105145,double,1,10
43,1107256,1.107256,double,1,10
44,1106125,1.106125,double,1,10
45,1106718,1.106718,double,1,10
46,1104363,1.104363,double,1,10
47,1107505,1.107505,double,1,10
48,1104850,1.10485,double,1,10
49,1103825,1.103825,double,1,10
50,1106350,1.10635,double,1,10
51,1102905,1.102905,double,1,10
52,1103355,1.103355,double,1,10
53,1109460,1.10946,double,1,10
54,1111023,1.111023,double,1,10
55,1105168,1.105168,double,1,10
56,1106194,1.106194,double,1,10
57,1107559,1.107559,double,1,10
58,1103299,1.103299,double,1,10
59,1103891,1.103891,double,1,10
60,1106704,1.106704,double,1,10
61,1104092,1.104092,double,1,10
62,1102841,1.102841,double,1,10
63,1110356,1.110356,double,1,10
64,1106786,1.106786,double,1,10
65,1104159,1.104159,double,1,10
66,1107145,1.107145,double,1,10
67,1161941,1.161941,double,1,10
68,1115044,1.115044,double,1,10
69,1129814,1.129814,double,1,10
70,1104237,1.104237,double,1,10
71,1112297,1.112297,double,1,10
72,1103096,1.103096,double,1,10
73,1110439,1.110439,double,1,10
74,1112901,1.112901,double,1,10
75,1108181,1.108181,double,1,10
76,1105976,1.105976,double,1,10
77,1102649,1.102649,double,1,10
78,1106897,1.106897,double,1,10
79,1105818,1.105818,double,1,10
80,1135090,1.13509,double,1,10
81,1103943,1.103943,double,1,10
82,1103109,1.103109,double,1,10
83,1107131,1.107131,double,1,10
84,1104986,1.104986,double,1,10
85,1118024,1.118024,double,1,10
86,1103474,1.103474,double,1,10
87,1102671,1.102671,double,1,10
88,1106984,1.106984,double,1,10
89,1109296,1.109296,double,1,10
90,1102360,1.10236,double,1,10
91,1106408,1.106408,double,1,10
92,1103013,1.103013,double,1,10
93,1113932,1.113932,double,1,10
94,1102623,1.102623,double,1,10
95,1102573,1.102573,double,1,10
96,1107658,1.107658,double,1,10
97,1103359,1.103359,double,1,10
98,1107587,1.107587,double,1,10
99,1107416,1.107416,double,1,10
100,1107226,1.107226,double,1,10
101,1110675,1.110675,double,1,10
102,1111292,1.111292,double,1,10
103,1116849,1.116849,double,1,10
104,1132464,1.132464,double,1,10
105,1108217,1.108217,double,1,10
106,1103345,1.103345,double,1,10
107,1112598,1.112598,double,1,10
108,1104358,1.104358,double,1,10
109,1106632,1.106632,double,1,10
110,1102566,1.102566,double,1,10
111,1109017,1.109017,double,1,10
112,1103276,1.103276,double,1,10
113,1106140,1.10614,double,1,10
114,1103967,1.103967,double,1,10
115,1101853,1.101853,double,1,10
116,1106935,1.106935,double,1,10
117,1110048,1.110048,double,1,10
118,1104027,1.104027,double,1,10
119,1107285,1.107285,double,1,10
120,1103838,1.103838,double,1,10
121,1106629,1.106629,double,1,10
122,1103523,1.103523,double,1,10
123,1102627,1.102627,double,1,10
124,1105943,1.105943,double,1,10
125,1103347,1.103347,double,1,10
126,1109857,1.109857,double,1,10
127,1104153,1.104153,double,1,10
128,1105574,1.105574,double,1,10
129,1102444,1.102444,double,1,10
130,1132662,1.132662,double,1,10
131,1102999,1.102999,double,1,10
132,1102538,1.102538,double,1,10
133,1106728,1.106728,double,1,10
134,1103962,1.103962,double,1,10
135,1120215,1.120215,double,1,10
136,1105051,1.105051,double,1,10
137,1103584,1.103584,double,1,10
138,1106095,1.106095,double,1,10
139,1102911,1.102911,double,1,10
140,1106275,1.106275,double,1,10
141,1102888,1.102888,double,1,10
142,1106290,1.10629,double,1,10
143,1103365,1.103365,double,1,10
144,1103059,1.103059,double,1,10
145,1109942,1.109942,double,1,10
146,1103081,1.103081,double,1,10
147,1106461,1.106461,double,1,10
148,1104192,1.104192,double,1,10
149,1108974,1.108974,double,1,10
150,1104181,1.104181,double,1,10
151,1108347,1.108347,double,1,10
152,1103873,1.103873,double,1,10
153,1104612,1.104612,double,1,10
154,1110603,1.110603,double,1,10
155,1103310,1.10331,double,1,10
156,1114569,1.114569,double,1,10
157,1102706,1.102706,double,1,10
158,1103440,1.10344,double,1,10
159,1107525,1.107525,double,1,10
160,1110852,1.110852,double,1,10
161,1107987,1.107987,double,1,10
162,1103320,1.10332,double,1,10
163,1112050,1.11205,double,1,10
164,1107371,1.107371,double,1,10
165,1109578,1.109578,double,1,10
166,1102128,1.102128,double,1,10
167,1107126,1.107126,double,1,10
168,1106440,1.10644,double,1,10
169,1106785,1.106785,double,1,10
170,1110667,1.110667,double,1,10
171,1107585,1.107585,double,1,10
172,1105798,1.105798,double,1,10
173,1106685,1.106685,double,1,10
174,1105014,1.105014,double,1,10
175,1109238,1.109238,double,1,10
176,1103919,1.103919,double,1,10
177,1106863,1.106863,double,1,10
178,1103335,1.103335,double,1,10
179,1106039,1.106039,double,1,10
180,1102625,1.102625,double,1,10
181,1102231,1.102231,double,1,10
182,1110291,1.110291,double,1,10
183,1115817,1.115817,double,1,10
184,1103830,1.10383,double,1,10
185,1103537,1.103537,double,1,10
186,1105251,1.105251,double,1,10
187,1102980,1.10298,double,1,10
188,1106792,1.106792,double,1,10
189,1103533,1.103533,double,1,10
190,1103489,1.103489,double,1,10
191,1111920,1.11192,double,1,10
192,1113103,1.113103,double,1,10
193,1103500,1.1035,double,1,10
194,1102829,1.102829,double,1,10
195,1106722,1.106722,double,1,10
196,1103365,1.103365,double,1,10
197,1106828,1.106828,double,1,10
198,1103603,1.103603,double,1,10
199,1106894,1.106894,double,1,10
200,1109259,1.109259,double,1,10
201,1109974,1.109974,double,1,10
202,1107182,1.107182,double,1,10
203,1102788,1.102788,double,1,10
204,1103397,1.103397,double,1,10
205,1117650,1.11765,double,1,10
206,1118606,1.118606,double,1,10
207,1140101,1.140101,double,1,10
208,1116971,1.116971,double,1,10
209,1126232,1.126232,double,1,10
210,1127960,1.12796,double,1,10
211,1143462,1.143462,double,1,10
212,1119036,1.119036,double,1,10
213,1113231,1.113231,double,1,10
214,1119781,1.119781,double,1,10
215,1110942,1.110942,double,1,10
216,1113276,1.113276,double,1,10
217,1120759,1.120759,double,1,10
218,1114237,1.114237,double,1,10
219,1124932,1.124932,double,1,10
220,1112211,1.112211,double,1,10
221,1114478,1.114478,double,1,10
222,1118655,1.118655,double,1,10
223,1112432,1.112432,double,1,10
224,1112867,1.112867,double,1,10
225,1124594,1.124594,double,1,10
226,1112393,1.112393,double,1,10
227,1118409,1.118409,double,1,10
228,1113184,1.113184,double,1,10
229,1112601,1.112601,double,1,10
230,1114530,1.11453,double,1,10
231,1111902,1.111902,double,1,10
232,1120917,1.120917,double,1,10
233,1112347,1.112347,double,1,10
234,1121660,1.12166,double,1,10
235,1113980,1.11398,double,1,10
236,1111217,1.111217,double,1,10
237,1119654,1.119654,double,1,10
238,1113042,1.113042,double,1,10
239,1115228,1.115228,double,1,10
240,1124333,1.124333,double,1,10
241,1113349,1.113349,double,1,10
242,1121931,1.121931,double,1,10
243,1113025,1.113025,double,1,10
244,1112466,1.112466,double,1,10
245,1116018,1.116018,double,1,10
246,1118620,1.11862,double,1,10
247,1127689,1.127689,double,1,10
248,1132258,1.132258,double,1,10
249,1124191,1.124191,double,1,10
250,1116543,1.116543,double,1,10
251,1119271,1.119271,double,1,10
252,1115925,1.115925,double,1,10
253,1117442,1.117442,double,1,10
254,1124542,1.124542,double,1,10
255,1113868,1.113868,double,1,10
256,1113378,1.113378,double,1,10
257,1114562,1.114562,double,1,10
258,1125804,1.125804,double,1,10
259,1115057,1.115057,double,1,10
260,1119158,1.119158,double,1,10
261,1113402,1.113402,double,1,10
262,1113359,1.113359,double,1,10
263,1118359,1.118359,double,1,10
264,1114850,1.11485,double,1,10
265,1121781,1.121781,double,1,10
266,1113875,1.113875,double,1,10
267,1121429,1.121429,double,1,10
268,1116764,1.116764,double,1,10
269,1123645,1.123645,double,1,10
270,1121631,1.121631,double,1,10
271,1110441,1.110441,double,1,10
272,1114105,1.114105,double,1,10
273,1124839,1.124839,double,1,10
274,1113913,1.113913,double,1,10
275,1118607,1.118607,double,1,10
276,1116425,1.116425,double,1,10
277,1114783,1.114783,double,1,10
278,1114944,1.114944,double,1,10
279,1119713,1.119713,double,1,10
280,1117843,1.117843,double,1,10
281,1119920,1.11992,double,1,10
282,1115081,1.115081,double,1,10
283,1116394,1.116394,double,1,10
284,1126358,1.126358,double,1,10
285,1110841,1.110841,double,1,10
286,1113269,1.113269,double,1,10
287,1113780,1.11378,double,1,10
288,1113483,1.113483,double,1,10
289,1116243,1.116243,double,1,10
290,1114610,1.11461,double,1,10
291,1112730,1.11273,double,1,10
292,1123579,1.123579,double,1,10
293,1113640,1.11364,double,1,10
294,1118004,1.118004,double,1,10
295,1148542,1.148542,double,1,10
296,1120740,1.12074,double,1,10
297,1113270,1.11327,double,1,10
298,1113571,1.113571,double,1,10
299,1124948,1.124948,double,1,10
300,1123058,1.123058,double,1,10
301,1113446,1.113446,double,1,10
302,1112377,1.112377,double,1,10
303,1118397,1.118397,double,1,10
304,1116764,1.116764,double,1,10
305,1118226,1.118226,double,1,10
306,1114425,1.114425,double,1,10
307,1134883,1.134883,double,1,10
308,1118325,1.118325,double,1,10
309,1122699,1.122699,double,1,10
310,1127745,1.127745,double,1,10
311,1119089,1.119089,double,1,10
312,1112997,1.112997,double,1,10
313,1112685,1.112685,double,1,10
314,1119147,1.119147,double,1,10
315,1113608,1.113608,double,1,10
316,1110286,1.110286,double,1,10
317,1123246,1.123246,double,1,10
318,1127342,1.127342,double,1,10
319,1114265,1.114265,double,1,10
320,1112398,1.112398,double,1,10
321,1118226,1.118226,double,1,10
322,1111563,1.111563,double,1,10
323,1114016,1.114016,double,1,10
324,1118355,1.118355,double,1,10
325,1118922,1.118922,double,1,10
326,1115600,1.1156,double,1,10
327,1114488,1.114488,double,1,10
328,1117754,1.117754,double,1,10
329,1111177,1.111177,double,1,10
330,1113806,1.113806,double,1,10
331,1116659,1.116659,double,1,10
332,1117898,1.117898,double,1,10
333,1112734,1.112734,double,1,10
334,1123923,1.123923,double,1,10
335,1124373,1.124373,double,1,10
336,1113057,1.113057,double,1,10
337,1118160,1.11816,double,1,10
338,1114373,1.114373,double,1,10
339,1124715,1.124715,double,1,10
340,1119433,1.119433,double,1,10
341,1111002,1.111002,double,1,10
342,1122471,1.122471,double,1,10
343,1110195,1.110195,double,1,10
344,1118197,1.118197,double,1,10
345,1115180,1.11518,double,1,10
346,1115014,1.115014,double,1,10
347,1115154,1.115154,double,1,10
348,1114239,1.114239,double,1,10
349,1110227,1.110227,double,1,10
350,1126032,1.126032,double,1,10
351,1117849,1.117849,double,1,10
