iteration,latency_ns,latency_ms,precision,threads,kernels
0,574542,0.574542,single,2,10
1,563028,0.563028,single,2,10
2,569807,0.569807,single,2,10
3,572084,0.572084,single,2,10
4,564232,0.564232,single,2,10
5,566049,0.566049,single,2,10
6,594196,0.594196,single,2,10
7,588658,0.588658,single,2,10
8,577663,0.577663,single,2,10
9,588233,0.588233,single,2,10
10,581727,0.581727,single,2,10
11,578678,0.578678,single,2,10
12,582093,0.582093,single,2,10
13,581716,0.581716,single,2,10
14,582494,0.582494,single,2,10
15,582774,0.582774,single,2,10
16,582022,0.582022,single,2,10
17,595297,0.595297,single,2,10
18,593093,0.593093,single,2,10
19,671025,0.671025,single,2,10
20,615026,0.615026,single,2,10
21,598021,0.598021,single,2,10
22,612791,0.612791,single,2,10
23,604027,0.604027,single,2,10
24,583914,0.583914,single,2,10
25,585163,0.585163,single,2,10
26,581706,0.581706,single,2,10
27,586082,0.586082,single,2,10
28,578867,0.578867,single,2,10
29,582928,0.582928,single,2,10
30,580473,0.580473,single,2,10
31,575134,0.575134,single,2,10
32,583744,0.583744,single,2,10
33,582446,0.582446,single,2,10
34,587308,0.587308,single,2,10
35,563849,0.563849,single,2,10
36,571945,0.571945,single,2,10
37,565838,0.565838,single,2,10
38,593700,0.5937,single,2,10
39,583552,0.583552,single,2,10
40,580938,0.580938,single,2,10
41,587668,0.587668,single,2,10
42,564196,0.564196,single,2,10
43,567529,0.567529,single,2,10
44,566764,0.566764,single,2,10
45,585421,0.585421,single,2,10
46,585037,0.585037,single,2,10
47,591626,0.591626,single,2,10
48,591890,0.59189,single,2,10
49,571460,0.57146,single,2,10
50,566288,0.566288,single,2,10
51,561187,0.561187,single,2,10
52,568240,0.56824,single,2,10
53,563798,0.563798,single,2,10
54,563272,0.563272,single,2,10
55,567273,0.567273,single,2,10
56,575197,0.575197,single,2,10
57,565789,0.565789,single,2,10
58,569726,0.569726,single,2,10
59,567087,0.567087,single,2,10
60,564671,0.564671,single,2,10
61,560135,0.560135,single,2,10
62,564214,0.564214,single,2,10
63,567355,0.567355,single,2,10
64,567109,0.567109,single,2,10
65,566774,0.566774,single,2,10
66,564177,0.564177,single,2,10
67,570694,0.570694,single,2,10
68,565374,0.565374,single,2,10
69,564495,0.564495,single,2,10
70,564280,0.56428,single,2,10
71,570702,0.570702,single,2,10
72,565427,0.565427,single,2,10
73,565470,0.56547,single,2,10
74,564457,0.564457,single,2,10
75,564161,0.564161,single,2,10
76,567672,0.567672,single,2,10
77,562075,0.562075,single,2,10
78,568558,0.568558,single,2,10
79,572261,0.572261,single,2,10
80,562526,0.562526,single,2,10
81,568102,0.568102,single,2,10
82,655816,0.655816,single,2,10
83,568313,0.568313,single,2,10
84,565096,0.565096,single,2,10
85,589714,0.589714,single,2,10
86,596698,0.596698,single,2,10
87,597070,0.59707,single,2,10
88,569610,0.56961,single,2,10
89,558383,0.558383,single,2,10
90,554108,0.554108,single,2,10
91,549273,0.549273,single,2,10
92,564663,0.564663,single,2,10
93,569799,0.569799,single,2,10
94,547461,0.547461,single,2,10
95,556674,0.556674,single,2,10
96,560473,0.560473,single,2,10
97,552575,0.552575,single,2,10
98,555543,0.555543,single,2,10
99,555434,0.555434,single,2,10
100,617996,0.617996,single,2,10
101,548822,0.548822,single,2,10
102,550963,0.550963,single,2,10
103,547694,0.547694,single,2,10
104,555749,0.555749,single,2,10
105,548886,0.548886,single,2,10
106,584811,0.584811,single,2,10
107,582744,0.582744,single,2,10
108,581959,0.581959,single,2,10
109,587820,0.58782,single,2,10
110,580167,0.580167,single,2,10
111,578337,0.578337,single,2,10
112,564086,0.564086,single,2,10
113,568060,0.56806,single,2,10
114,569378,0.569378,single,2,10
115,567410,0.56741,single,2,10
116,565569,0.565569,single,2,10
117,560648,0.560648,single,2,10
118,566546,0.566546,single,2,10
119,566834,0.566834,single,2,10
120,569030,0.56903,single,2,10
121,566163,0.566163,single,2,10
122,586375,0.586375,single,2,10
123,584668,0.584668,single,2,10
124,581759,0.581759,single,2,10
125,582597,0.582597,single,2,10
126,577705,0.577705,single,2,10
127,567188,0.567188,single,2,10
128,567284,0.567284,single,2,10
129,564194,0.564194,single,2,10
130,571864,0.571864,single,2,10
131,566522,0.566522,single,2,10
132,566131,0.566131,single,2,10
133,583321,0.583321,single,2,10
134,584456,0.584456,single,2,10
135,583541,0.583541,single,2,10
136,580167,0.580167,single,2,10
137,579275,0.579275,single,2,10
138,562532,0.562532,single,2,10
139,566480,0.56648,single,2,10
140,562737,0.562737,single,2,10
141,564805,0.564805,single,2,10
142,571224,0.571224,single,2,10
143,565478,0.565478,single,2,10
144,635500,0.6355,single,2,10
145,621144,0.621144,single,2,10
146,576048,0.576048,single,2,10
147,568649,0.568649,single,2,10
148,567015,0.567015,single,2,10
149,567580,0.56758,single,2,10
150,563185,0.563185,single,2,10
151,589207,0.589207,single,2,10
152,578014,0.578014,single,2,10
153,582759,0.582759,single,2,10
154,581296,0.581296,single,2,10
155,582243,0.582243,single,2,10
156,564324,0.564324,single,2,10
157,564017,0.564017,single,2,10
158,587594,0.587594,single,2,10
159,583460,0.58346,single,2,10
160,580136,0.580136,single,2,10
161,584793,0.584793,single,2,10
162,579020,0.57902,single,2,10
163,565021,0.565021,single,2,10
164,569234,0.569234,single,2,10
165,568199,0.568199,single,2,10
166,570583,0.570583,single,2,10
167,562673,0.562673,single,2,10
168,566048,0.566048,single,2,10
169,578455,0.578455,single,2,10
170,582469,0.582469,single,2,10
171,580045,0.580045,single,2,10
172,582862,0.582862,single,2,10
173,584297,0.584297,single,2,10
174,564272,0.564272,single,2,10
175,570194,0.570194,single,2,10
176,575806,0.575806,single,2,10
177,583476,0.583476,single,2,10
178,578581,0.578581,single,2,10
179,583761,0.583761,single,2,10
180,584370,0.58437,single,2,10
181,579393,0.579393,single,2,10
182,584393,0.584393,single,2,10
183,580345,0.580345,single,2,10
184,595702,0.595702,single,2,10
185,566403,0.566403,single,2,10
186,562180,0.56218,single,2,10
187,570150,0.57015,single,2,10
188,565815,0.565815,single,2,10
189,571169,0.571169,single,2,10
190,562262,0.562262,single,2,10
191,588081,0.588081,single,2,10
192,584575,0.584575,single,2,10
193,580982,0.580982,single,2,10
194,584329,0.584329,single,2,10
195,577880,0.57788,single,2,10
196,567309,0.567309,single,2,10
197,565257,0.565257,single,2,10
198,585668,0.585668,single,2,10
199,583860,0.58386,single,2,10
200,601575,0.601575,single,2,10
201,687163,0.687163,single,2,10
202,1747675,1.747675,single,2,10
203,840764,0.840764,single,2,10
204,762046,0.762046,single,2,10
205,989022,0.989022,single,2,10
206,917715,0.917715,single,2,10
207,831459,0.831459,single,2,10
208,772857,0.772857,single,2,10
209,733798,0.733798,single,2,10
210,759678,0.759678,single,2,10
211,722501,0.722501,single,2,10
212,743852,0.743852,single,2,10
213,733952,0.733952,single,2,10
214,742647,0.742647,single,2,10
215,759954,0.759954,single,2,10
216,747792,0.747792,single,2,10
217,612876,0.612876,single,2,10
218,667760,0.66776,single,2,10
219,789619,0.789619,single,2,10
220,957331,0.957331,single,2,10
221,1740181,1.740181,single,2,10
222,743993,0.743993,single,2,10
223,776957,0.776957,single,2,10
224,850313,0.850313,single,2,10
225,786863,0.786863,single,2,10
226,804898,0.804898,single,2,10
227,1114035,1.114035,single,2,10
228,591549,0.591549,single,2,10
229,703953,0.703953,single,2,10
230,682978,0.682978,single,2,10
231,688131,0.688131,single,2,10
232,587076,0.587076,single,2,10
233,585667,0.585667,single,2,10
234,581008,0.581008,single,2,10
235,599773,0.599773,single,2,10
236,578579,0.578579,single,2,10
237,584358,0.584358,single,2,10
238,578694,0.578694,single,2,10
239,592977,0.592977,single,2,10
240,584304,0.584304,single,2,10
241,578112,0.578112,single,2,10
242,591924,0.591924,single,2,10
243,580499,0.580499,single,2,10
244,589468,0.589468,single,2,10
245,585289,0.585289,single,2,10
246,581402,0.581402,single,2,10
247,584106,0.584106,single,2,10
248,578303,0.578303,single,2,10
249,590821,0.590821,single,2,10
250,579241,0.579241,single,2,10
251,601862,0.601862,single,2,10
252,583504,0.583504,single,2,10
253,582732,0.582732,single,2,10
254,585099,0.585099,single,2,10
255,579977,0.579977,single,2,10
256,590941,0.590941,single,2,10
257,587665,0.587665,single,2,10
258,579100,0.5791,single,2,10
259,588403,0.588403,single,2,10
260,587025,0.587025,single,2,10
261,583981,0.583981,single,2,10
262,583395,0.583395,single,2,10
263,579922,0.579922,single,2,10
264,582750,0.58275,single,2,10
265,579723,0.579723,single,2,10
266,581282,0.581282,single,2,10
267,591488,0.591488,single,2,10
268,580439,0.580439,single,2,10
269,584250,0.58425,single,2,10
270,583320,0.58332,single,2,10
271,589427,0.589427,single,2,10
272,579810,0.57981,single,2,10
273,582871,0.582871,single,2,10
274,586058,0.586058,single,2,10
275,579825,0.579825,single,2,10
276,582053,0.582053,single,2,10
277,577478,0.577478,single,2,10
278,584220,0.58422,single,2,10
279,581155,0.581155,single,2,10
280,672784,0.672784,single,2,10
281,745997,0.745997,single,2,10
282,761758,0.761758,single,2,10
283,762143,0.762143,single,2,10
284,827795,0.827795,single,2,10
285,827793,0.827793,single,2,10
286,844693,0.844693,single,2,10
287,807392,0.807392,single,2,10
288,685758,0.685758,single,2,10
289,682044,0.682044,single,2,10
290,689962,0.689962,single,2,10
291,680686,0.680686,single,2,10
292,689767,0.689767,single,2,10
293,695339,0.695339,single,2,10
294,776429,0.776429,single,2,10
295,695017,0.695017,single,2,10
296,720864,0.720864,single,2,10
297,687374,0.687374,single,2,10
298,706115,0.706115,single,2,10
299,702492,0.702492,single,2,10
300,699203,0.699203,single,2,10
301,679411,0.679411,single,2,10
302,664044,0.664044,single,2,10
303,688737,0.688737,single,2,10
304,699246,0.699246,single,2,10
305,629669,0.629669,single,2,10
306,609735,0.609735,single,2,10
307,758067,0.758067,single,2,10
308,730334,0.730334,single,2,10
309,681875,0.681875,single,2,10
310,626272,0.626272,single,2,10
311,606876,0.606876,single,2,10
312,579021,0.579021,single,2,10
313,548816,0.548816,single,2,10
314,557297,0.557297,single,2,10
315,552272,0.552272,single,2,10
316,556008,0.556008,single,2,10
317,551436,0.551436,single,2,10
318,583393,0.583393,single,2,10
319,587719,0.587719,single,2,10
320,580085,0.580085,single,2,10
321,585679,0.585679,single,2,10
322,582954,0.582954,single,2,10
323,578830,0.57883,single,2,10
324,575015,0.575015,single,2,10
325,582738,0.582738,single,2,10
326,619664,0.619664,single,2,10
327,590069,0.590069,single,2,10
328,581758,0.581758,single,2,10
329,590892,0.590892,single,2,10
330,578077,0.578077,single,2,10
331,622940,0.62294,single,2,10
332,593607,0.593607,single,2,10
333,580169,0.580169,single,2,10
334,581397,0.581397,single,2,10
335,580412,0.580412,single,2,10
336,586461,0.586461,single,2,10
337,580786,0.580786,single,2,10
338,584445,0.584445,single,2,10
339,584591,0.584591,single,2,10
340,578305,0.578305,single,2,10
341,588185,0.588185,single,2,10
342,586390,0.58639,single,2,10
343,588065,0.588065,single,2,10
344,589187,0.589187,single,2,10
345,581154,0.581154,single,2,10
346,598850,0.59885,single,2,10
347,581192,0.581192,single,2,10
348,579641,0.579641,single,2,10
349,583960,0.58396,single,2,10
350,583077,0.583077,single,2,10
351,586619,0.586619,single,2,10
352,579750,0.57975,single,2,10
353,586595,0.586595,single,2,10
354,579391,0.579391,single,2,10
355,582651,0.582651,single,2,10
356,581828,0.581828,single,2,10
357,583264,0.583264,single,2,10
358,585291,0.585291,single,2,10
359,579456,0.579456,single,2,10
360,587415,0.587415,single,2,10
361,580422,0.580422,single,2,10
362,580735,0.580735,single,2,10
363,584043,0.584043,single,2,10
364,581347,0.581347,single,2,10
365,584803,0.584803,single,2,10
366,579908,0.579908,single,2,10
367,599106,0.599106,single,2,10
368,593222,0.593222,single,2,10
369,579570,0.57957,single,2,10
370,585301,0.585301,single,2,10
371,582910,0.58291,single,2,10
372,588423,0.588423,single,2,10
373,585304,0.585304,single,2,10
374,584669,0.584669,single,2,10
375,588376,0.588376,single,2,10
376,580683,0.580683,single,2,10
377,582734,0.582734,single,2,10
378,594370,0.59437,single,2,10
379,579939,0.579939,single,2,10
380,583377,0.583377,single,2,10
381,579936,0.579936,single,2,10
382,584576,0.584576,single,2,10
383,578318,0.578318,single,2,10
384,581242,0.581242,single,2,10
385,584888,0.584888,single,2,10
386,580279,0.580279,single,2,10
387,583654,0.583654,single,2,10
388,580036,0.580036,single,2,10
389,589664,0.589664,single,2,10
390,583535,0.583535,single,2,10
391,580922,0.580922,single,2,10
392,582915,0.582915,single,2,10
393,581758,0.581758,single,2,10
394,581440,0.58144,single,2,10
395,578734,0.578734,single,2,10
396,580284,0.580284,single,2,10
397,583100,0.5831,single,2,10
398,580093,0.580093,single,2,10
399,589210,0.58921,single,2,10
400,583034,0.583034,single,2,10
401,584007,0.584007,single,2,10
402,586517,0.586517,single,2,10
403,598587,0.598587,single,2,10
404,581752,0.581752,single,2,10
405,581633,0.581633,single,2,10
406,582608,0.582608,single,2,10
407,582738,0.582738,single,2,10
408,578275,0.578275,single,2,10
409,584410,0.58441,single,2,10
410,578816,0.578816,single,2,10
411,586836,0.586836,single,2,10
412,581629,0.581629,single,2,10
413,596192,0.596192,single,2,10
414,586859,0.586859,single,2,10
415,581238,0.581238,single,2,10
416,583971,0.583971,single,2,10
417,580961,0.580961,single,2,10
418,587337,0.587337,single,2,10
419,579893,0.579893,single,2,10
420,584290,0.58429,single,2,10
421,586200,0.5862,single,2,10
422,578528,0.578528,single,2,10
423,587885,0.587885,single,2,10
424,580165,0.580165,single,2,10
425,585890,0.58589,single,2,10
426,583007,0.583007,single,2,10
427,580783,0.580783,single,2,10
428,591360,0.59136,single,2,10
429,584648,0.584648,single,2,10
430,584079,0.584079,single,2,10
431,587957,0.587957,single,2,10
432,585702,0.585702,single,2,10
433,583725,0.583725,single,2,10
434,581010,0.58101,single,2,10
435,586018,0.586018,single,2,10
436,583572,0.583572,single,2,10
437,582772,0.582772,single,2,10
438,581428,0.581428,single,2,10
439,585688,0.585688,single,2,10
440,583675,0.583675,single,2,10
441,581056,0.581056,single,2,10
442,581057,0.581057,single,2,10
443,583790,0.58379,single,2,10
444,584402,0.584402,single,2,10
445,587635,0.587635,single,2,10
446,583659,0.583659,single,2,10
447,585274,0.585274,single,2,10
448,581521,0.581521,single,2,10
449,583899,0.583899,single,2,10
450,586543,0.586543,single,2,10
451,585164,0.585164,single,2,10
452,596146,0.596146,single,2,10
453,586987,0.586987,single,2,10
454,581788,0.581788,single,2,10
455,587859,0.587859,single,2,10
456,580649,0.580649,single,2,10
457,587218,0.587218,single,2,10
458,580102,0.580102,single,2,10
459,585161,0.585161,single,2,10
460,580065,0.580065,single,2,10
461,585071,0.585071,single,2,10
462,576569,0.576569,single,2,10
463,579448,0.579448,single,2,10
464,586260,0.58626,single,2,10
465,580445,0.580445,single,2,10
466,584391,0.584391,single,2,10
467,583993,0.583993,single,2,10
468,583288,0.583288,single,2,10
469,586015,0.586015,single,2,10
470,581906,0.581906,single,2,10
471,586243,0.586243,single,2,10
472,587002,0.587002,single,2,10
473,580727,0.580727,single,2,10
474,582929,0.582929,single,2,10
475,582357,0.582357,single,2,10
476,585825,0.585825,single,2,10
477,582207,0.582207,single,2,10
478,585677,0.585677,single,2,10
479,588765,0.588765,single,2,10
480,581929,0.581929,single,2,10
481,582254,0.582254,single,2,10
482,583259,0.583259,single,2,10
483,582639,0.582639,single,2,10
484,579339,0.579339,single,2,10
485,582476,0.582476,single,2,10
486,593073,0.593073,single,2,10
487,579569,0.579569,single,2,10
488,584988,0.584988,single,2,10
489,582481,0.582481,single,2,10
490,583560,0.58356,single,2,10
491,583622,0.583622,single,2,10
492,578867,0.578867,single,2,10
493,589698,0.589698,single,2,10
494,580117,0.580117,single,2,10
495,587117,0.587117,single,2,10
496,583415,0.583415,single,2,10
497,583206,0.583206,single,2,10
498,583810,0.58381,single,2,10
499,579955,0.579955,single,2,10
500,600655,0.600655,single,2,10
501,580845,0.580845,single,2,10
502,585264,0.585264,single,2,10
503,580663,0.580663,single,2,10
504,582713,0.582713,single,2,10
505,583113,0.583113,single,2,10
506,579074,0.579074,single,2,10
507,587034,0.587034,single,2,10
508,584711,0.584711,single,2,10
509,580857,0.580857,single,2,10
510,587493,0.587493,single,2,10
511,581516,0.581516,single,2,10
512,584361,0.584361,single,2,10
513,584211,0.584211,single,2,10
514,580604,0.580604,single,2,10
515,580569,0.580569,single,2,10
516,579627,0.579627,single,2,10
517,579435,0.579435,single,2,10
518,582283,0.582283,single,2,10
519,582178,0.582178,single,2,10
520,583867,0.583867,single,2,10
521,580093,0.580093,single,2,10
522,582442,0.582442,single,2,10
523,578706,0.578706,single,2,10
524,577830,0.57783,single,2,10
525,583779,0.583779,single,2,10
526,579802,0.579802,single,2,10
527,583807,0.583807,single,2,10
528,580612,0.580612,single,2,10
529,586094,0.586094,single,2,10
530,581613,0.581613,single,2,10
531,583289,0.583289,single,2,10
532,586489,0.586489,single,2,10
533,579831,0.579831,single,2,10
534,581768,0.581768,single,2,10
535,580629,0.580629,single,2,10
536,585140,0.58514,single,2,10
537,583253,0.583253,single,2,10
538,584835,0.584835,single,2,10
539,583075,0.583075,single,2,10
540,586100,0.5861,single,2,10
541,584479,0.584479,single,2,10
542,583932,0.583932,single,2,10
543,590040,0.59004,single,2,10
544,582793,0.582793,single,2,10
545,587067,0.587067,single,2,10
546,594520,0.59452,single,2,10
547,596036,0.596036,single,2,10
548,590371,0.590371,single,2,10
549,582554,0.582554,single,2,10
550,574947,0.574947,single,2,10
551,585617,0.585617,single,2,10
552,581074,0.581074,single,2,10
553,582217,0.582217,single,2,10
554,584013,0.584013,single,2,10
555,579972,0.579972,single,2,10
556,590553,0.590553,single,2,10
557,580514,0.580514,single,2,10
558,586449,0.586449,single,2,10
559,580707,0.580707,single,2,10
560,582031,0.582031,single,2,10
561,589177,0.589177,single,2,10
562,581252,0.581252,single,2,10
563,582627,0.582627,single,2,10
564,579437,0.579437,single,2,10
565,587657,0.587657,single,2,10
566,579432,0.579432,single,2,10
567,581000,0.581,single,2,10
568,585809,0.585809,single,2,10
569,579003,0.579003,single,2,10
570,591711,0.591711,single,2,10
571,580357,0.580357,single,2,10
572,586676,0.586676,single,2,10
573,583747,0.583747,single,2,10
574,593440,0.59344,single,2,10
575,584652,0.584652,single,2,10
576,581768,0.581768,single,2,10
577,578462,0.578462,single,2,10
578,579831,0.579831,single,2,10
579,583300,0.5833,single,2,10
580,584518,0.584518,single,2,10
581,579813,0.579813,single,2,10
582,582717,0.582717,single,2,10
583,581759,0.581759,single,2,10
584,580754,0.580754,single,2,10
585,587729,0.587729,single,2,10
586,607430,0.60743,single,2,10
587,584199,0.584199,single,2,10
588,579974,0.579974,single,2,10
589,582286,0.582286,single,2,10
590,583789,0.583789,single,2,10
591,581754,0.581754,single,2,10
592,584113,0.584113,single,2,10
593,581435,0.581435,single,2,10
594,591202,0.591202,single,2,10
595,582324,0.582324,single,2,10
596,580384,0.580384,single,2,10
597,586420,0.58642,single,2,10
598,580787,0.580787,single,2,10
599,585550,0.58555,single,2,10
600,584005,0.584005,single,2,10
601,584493,0.584493,single,2,10
602,587147,0.587147,single,2,10
603,580883,0.580883,single,2,10
604,584904,0.584904,single,2,10
605,579764,0.579764,single,2,10
606,584590,0.58459,single,2,10
607,581567,0.581567,single,2,10
608,581313,0.581313,single,2,10
609,583839,0.583839,single,2,10
610,580091,0.580091,single,2,10
611,586680,0.58668,single,2,10
612,578305,0.578305,single,2,10
613,581899,0.581899,single,2,10
614,583567,0.583567,single,2,10
615,588710,0.58871,single,2,10
616,587710,0.58771,single,2,10
617,579680,0.57968,single,2,10
618,584188,0.584188,single,2,10
619,585223,0.585223,single,2,10
620,577834,0.577834,single,2,10
621,583139,0.583139,single,2,10
622,583468,0.583468,single,2,10
623,581853,0.581853,single,2,10
624,580813,0.580813,single,2,10
625,585345,0.585345,single,2,10
626,583951,0.583951,single,2,10
627,580531,0.580531,single,2,10
628,584202,0.584202,single,2,10
629,582485,0.582485,single,2,10
630,583177,0.583177,single,2,10
631,583476,0.583476,single,2,10
632,580807,0.580807,single,2,10
633,600919,0.600919,single,2,10
634,579258,0.579258,single,2,10
635,591608,0.591608,single,2,10
636,589265,0.589265,single,2,10
637,581600,0.5816,single,2,10
638,583791,0.583791,single,2,10
639,579330,0.57933,single,2,10
640,580974,0.580974,single,2,10
641,584498,0.584498,single,2,10
642,584632,0.584632,single,2,10
643,586459,0.586459,single,2,10
644,603184,0.603184,single,2,10
645,582517,0.582517,single,2,10
646,581339,0.581339,single,2,10
647,586689,0.586689,single,2,10
648,583130,0.58313,single,2,10
649,582939,0.582939,single,2,10
650,583800,0.5838,single,2,10
651,590008,0.590008,single,2,10
652,585253,0.585253,single,2,10
653,582107,0.582107,single,2,10
654,592734,0.592734,single,2,10
655,586372,0.586372,single,2,10
656,581295,0.581295,single,2,10
657,584555,0.584555,single,2,10
658,585020,0.58502,single,2,10
659,586344,0.586344,single,2,10
660,585458,0.585458,single,2,10
661,581707,0.581707,single,2,10
662,587267,0.587267,single,2,10
663,582410,0.58241,single,2,10
