iteration,latency_ns,latency_ms,precision,threads,kernels
0,623527,0.623527,single,1,10
1,635555,0.635555,single,1,10
2,626437,0.626437,single,1,10
3,630559,0.630559,single,1,10
4,626586,0.626586,single,1,10
5,630182,0.630182,single,1,10
6,622764,0.622764,single,1,10
7,631083,0.631083,single,1,10
8,630614,0.630614,single,1,10
9,636034,0.636034,single,1,10
10,625648,0.625648,single,1,10
11,622788,0.622788,single,1,10
12,625055,0.625055,single,1,10
13,629866,0.629866,single,1,10
14,623281,0.623281,single,1,10
15,624814,0.624814,single,1,10
16,624488,0.624488,single,1,10
17,622150,0.62215,single,1,10
18,628647,0.628647,single,1,10
19,622439,0.622439,single,1,10
20,626059,0.626059,single,1,10
21,637614,0.637614,single,1,10
22,622208,0.622208,single,1,10
23,625821,0.625821,single,1,10
24,624956,0.624956,single,1,10
25,623029,0.623029,single,1,10
26,635416,0.635416,single,1,10
27,623361,0.623361,single,1,10
28,625103,0.625103,single,1,10
29,639440,0.63944,single,1,10
30,622918,0.622918,single,1,10
31,625565,0.625565,single,1,10
32,635891,0.635891,single,1,10
33,626634,0.626634,single,1,10
34,627383,0.627383,single,1,10
35,622242,0.622242,single,1,10
36,625260,0.62526,single,1,10
37,629480,0.62948,single,1,10
38,622221,0.622221,single,1,10
39,625127,0.625127,single,1,10
40,627140,0.62714,single,1,10
41,621910,0.62191,single,1,10
42,636563,0.636563,single,1,10
43,627072,0.627072,single,1,10
44,622782,0.622782,single,1,10
45,628091,0.628091,single,1,10
46,622154,0.622154,single,1,10
47,624659,0.624659,single,1,10
48,624992,0.624992,single,1,10
49,623152,0.623152,single,1,10
50,628098,0.628098,single,1,10
51,624628,0.624628,single,1,10
52,622121,0.622121,single,1,10
53,624045,0.624045,single,1,10
54,622515,0.622515,single,1,10
55,628399,0.628399,single,1,10
56,623894,0.623894,single,1,10
57,622297,0.622297,single,1,10
58,628322,0.628322,single,1,10
59,625147,0.625147,single,1,10
60,622155,0.622155,single,1,10
61,624900,0.6249,single,1,10
62,623213,0.623213,single,1,10
63,627383,0.627383,single,1,10
64,625521,0.625521,single,1,10
65,621553,0.621553,single,1,10
66,627916,0.627916,single,1,10
67,624732,0.624732,single,1,10
68,622951,0.622951,single,1,10
69,635736,0.635736,single,1,10
70,623063,0.623063,single,1,10
71,624182,0.624182,single,1,10
72,625849,0.625849,single,1,10
