iteration,latency_ns,latency_ms,measurement_type
0,13599469,13.599469,host_observed_busy_poll
1,13598452,13.598452,host_observed_busy_poll
2,13595706,13.595706,host_observed_busy_poll
3,13605864,13.605864,host_observed_busy_poll
4,13598812,13.598812,host_observed_busy_poll
5,13597849,13.597849,host_observed_busy_poll
6,13602577,13.602577,host_observed_busy_poll
7,13608664,13.608664,host_observed_busy_poll
8,13607920,13.60792,host_observed_busy_poll
9,13596175,13.596175,host_observed_busy_poll
10,13606640,13.60664,host_observed_busy_poll
11,13600114,13.600114,host_observed_busy_poll
12,13602958,13.602958,host_observed_busy_poll
13,13594337,13.594337,host_observed_busy_poll
14,13600182,13.600182,host_observed_busy_poll
15,13593588,13.593588,host_observed_busy_poll
16,13604212,13.604212,host_observed_busy_poll
17,13596008,13.596008,host_observed_busy_poll
18,13601995,13.601995,host_observed_busy_poll
19,13599502,13.599502,host_observed_busy_poll
20,13602715,13.602715,host_observed_busy_poll
21,13597564,13.597564,host_observed_busy_poll
22,13597472,13.597472,host_observed_busy_poll
23,13594986,13.594986,host_observed_busy_poll
24,13804589,13.804589,host_observed_busy_poll
25,13599634,13.599634,host_observed_busy_poll
26,13598590,13.59859,host_observed_busy_poll
27,13607516,13.607516,host_observed_busy_poll
28,13603532,13.603532,host_observed_busy_poll
29,13601994,13.601994,host_observed_busy_poll
30,13596070,13.59607,host_observed_busy_poll
31,13598813,13.598813,host_observed_busy_poll
32,13597574,13.597574,host_observed_busy_poll
33,13603188,13.603188,host_observed_busy_poll
34,13614487,13.614487,host_observed_busy_poll
35,13609148,13.609148,host_observed_busy_poll
36,13607310,13.60731,host_observed_busy_poll
37,13603097,13.603097,host_observed_busy_poll
38,13604792,13.604792,host_observed_busy_poll
39,13599211,13.599211,host_observed_busy_poll
40,13597538,13.597538,host_observed_busy_poll
41,13604932,13.604932,host_observed_busy_poll
42,13609310,13.60931,host_observed_busy_poll
43,13609835,13.609835,host_observed_busy_poll
44,13603356,13.603356,host_observed_busy_poll
45,13597828,13.597828,host_observed_busy_poll
46,13598820,13.59882,host_observed_busy_poll
47,13600930,13.60093,host_observed_busy_poll
48,13597217,13.597217,host_observed_busy_poll
49,13597350,13.59735,host_observed_busy_poll
50,13597760,13.59776,host_observed_busy_poll
51,13597829,13.597829,host_observed_busy_poll
52,13602884,13.602884,host_observed_busy_poll
53,13595944,13.595944,host_observed_busy_poll
54,13598206,13.598206,host_observed_busy_poll
55,13606315,13.606315,host_observed_busy_poll
56,13606846,13.606846,host_observed_busy_poll
57,13593257,13.593257,host_observed_busy_poll
58,13601783,13.601783,host_observed_busy_poll
59,13596052,13.596052,host_observed_busy_poll
60,13604698,13.604698,host_observed_busy_poll
61,13599248,13.599248,host_observed_busy_poll
62,13597853,13.597853,host_observed_busy_poll
63,13598386,13.598386,host_observed_busy_poll
64,13605761,13.605761,host_observed_busy_poll
65,13602829,13.602829,host_observed_busy_poll
66,13607474,13.607474,host_observed_busy_poll
67,13597915,13.597915,host_observed_busy_poll
68,13601771,13.601771,host_observed_busy_poll
69,13596229,13.596229,host_observed_busy_poll
70,13600392,13.600392,host_observed_busy_poll
71,13609539,13.609539,host_observed_busy_poll
72,13604572,13.604572,host_observed_busy_poll
73,13603923,13.603923,host_observed_busy_poll
74,13598482,13.598482,host_observed_busy_poll
75,13601167,13.601167,host_observed_busy_poll
76,13598739,13.598739,host_observed_busy_poll
77,13600812,13.600812,host_observed_busy_poll
78,13594741,13.594741,host_observed_busy_poll
79,13609130,13.60913,host_observed_busy_poll
80,13607857,13.607857,host_observed_busy_poll
81,13597883,13.597883,host_observed_busy_poll
82,13595836,13.595836,host_observed_busy_poll
83,13597237,13.597237,host_observed_busy_poll
84,13600733,13.600733,host_observed_busy_poll
