iteration,latency_ns,latency_ms,precision,threads,scope
0,24592227,24.5922,double_intermediate,1,plan+SOCS+FI+output_formation
1,17087300,17.0873,double_intermediate,1,plan+SOCS+FI+output_formation
2,15664456,15.6645,double_intermediate,1,plan+SOCS+FI+output_formation
3,16113035,16.113,double_intermediate,1,plan+SOCS+FI+output_formation
4,15718639,15.7186,double_intermediate,1,plan+SOCS+FI+output_formation
5,15629544,15.6295,double_intermediate,1,plan+SOCS+FI+output_formation
6,15697355,15.6974,double_intermediate,1,plan+SOCS+FI+output_formation
7,15840324,15.8403,double_intermediate,1,plan+SOCS+FI+output_formation
8,16386352,16.3864,double_intermediate,1,plan+SOCS+FI+output_formation
9,15810396,15.8104,double_intermediate,1,plan+SOCS+FI+output_formation
10,15878594,15.8786,double_intermediate,1,plan+SOCS+FI+output_formation
11,15747901,15.7479,double_intermediate,1,plan+SOCS+FI+output_formation
12,16038728,16.0387,double_intermediate,1,plan+SOCS+FI+output_formation
13,15844701,15.8447,double_intermediate,1,plan+SOCS+FI+output_formation
14,15682214,15.6822,double_intermediate,1,plan+SOCS+FI+output_formation
15,16407332,16.4073,double_intermediate,1,plan+SOCS+FI+output_formation
16,20817484,20.8175,double_intermediate,1,plan+SOCS+FI+output_formation
17,16765179,16.7652,double_intermediate,1,plan+SOCS+FI+output_formation
18,15638277,15.6383,double_intermediate,1,plan+SOCS+FI+output_formation
19,15632155,15.6322,double_intermediate,1,plan+SOCS+FI+output_formation
20,15659324,15.6593,double_intermediate,1,plan+SOCS+FI+output_formation
21,15609117,15.6091,double_intermediate,1,plan+SOCS+FI+output_formation
22,15604977,15.605,double_intermediate,1,plan+SOCS+FI+output_formation
23,15639190,15.6392,double_intermediate,1,plan+SOCS+FI+output_formation
24,15591711,15.5917,double_intermediate,1,plan+SOCS+FI+output_formation
25,15739992,15.74,double_intermediate,1,plan+SOCS+FI+output_formation
26,15710658,15.7107,double_intermediate,1,plan+SOCS+FI+output_formation
27,15820238,15.8202,double_intermediate,1,plan+SOCS+FI+output_formation
28,15773488,15.7735,double_intermediate,1,plan+SOCS+FI+output_formation
29,15705648,15.7056,double_intermediate,1,plan+SOCS+FI+output_formation
30,15791406,15.7914,double_intermediate,1,plan+SOCS+FI+output_formation
31,15657351,15.6574,double_intermediate,1,plan+SOCS+FI+output_formation
32,15682264,15.6823,double_intermediate,1,plan+SOCS+FI+output_formation
33,15784874,15.7849,double_intermediate,1,plan+SOCS+FI+output_formation
34,15728352,15.7284,double_intermediate,1,plan+SOCS+FI+output_formation
35,15749002,15.749,double_intermediate,1,plan+SOCS+FI+output_formation
36,15721353,15.7214,double_intermediate,1,plan+SOCS+FI+output_formation
37,15780017,15.78,double_intermediate,1,plan+SOCS+FI+output_formation
38,15750154,15.7502,double_intermediate,1,plan+SOCS+FI+output_formation
