scenario,stage,samples,mean_ms,median_ms,stddev_ms,min_ms,max_ms,p5_ms,p95_ms
resident_inputs,h2c_inputs,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resident_inputs,h2c_clear,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resident_inputs,axilite_config,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resident_inputs,kernel_host_wall,1000,13.617699634000001,13.614066000000001,0.04103662740321964,13.601138,14.487996,13.6067967,13.62490185
resident_inputs,c2h_output,1000,0.12314615899999999,0.11877599999999999,0.014545980189158186,0.107261,0.303117,0.10878805,0.14907404999999999
resident_inputs,host_fi,1000,30.008484149,29.648929000000003,1.7752572101512964,28.046668,53.408345,28.53559655,32.45657725
resident_inputs,total,1000,43.765215524,43.4063545,1.7859925752938401,41.804393,67.189754,42.28327975,46.21434495
retransmit_inputs,h2c_inputs,1000,9.231142947,9.2143,0.3373965796393652,8.479195,10.714734,8.71080385,9.7871355
retransmit_inputs,h2c_clear,1000,0.31121232,0.2944865,0.10592427365871208,0.133835,0.945916,0.16876125,0.51920475
retransmit_inputs,axilite_config,1000,0.958578448,0.904239,0.3446079595921219,0.38351,3.839389,0.4890911,1.5297344
retransmit_inputs,kernel_host_wall,1000,13.610700725000001,13.5992455,0.15725256779793587,13.586896,16.567086,13.59098075,13.6089755
retransmit_inputs,c2h_output,1000,0.118251452,0.113636,0.013698235729823233,0.100965,0.28486,0.1031999,0.14129415
retransmit_inputs,host_fi,1000,30.140064309,29.885916,1.3977329830710952,28.402948,43.013514,28.6127671,32.336864000000006
retransmit_inputs,total,1000,54.444352611,54.3171855,1.6107519573140876,51.330818,68.135483,52.4138361,56.764035050000004
