sample,source_png_sha256,input_bin_sha256,implementation_rmse,implementation_nrmse,implementation_max_abs,implementation_psnr_db,implementation_ssim,binary_agreement_at_0_225,model_rmse_vs_tcc,model_max_abs_vs_tcc,h2c_seconds,fpga_host_observed_seconds,c2h_seconds,host_fi_seconds,passed,raw_run
T1,2dfde847d289feb3be9539a0f76194bd79ba8779e49877c37f4d6d93ef0af35a,849e8e8f81d403c1c523fe6f8e2e27070a109ac039f1280ef9497a40bf3396e4,2.952802745941517e-08,7.770012619504823e-08,4.172325134277344e-07,142.19905100783942,1.0,1.0,0.0054737755323060145,0.010465636849403381,0.014994725000000002,0.02051178,0.000288778,0.031741231,True,experiments/runs/E1_multi_mask/T1
T2,10bb037586a616da00bee06335ef1fae5fb587b56457938eedd8ee5441868e48,b96f3e7d2d63b49fcebe8ba8fbbab2dcb81782053432e311aab3e2a9db74a528,2.1655738412977595e-08,5.999406388542607e-08,2.086162567138672e-07,144.44039344605227,0.9999999917575179,1.0,0.0045231786656205015,0.007305608130991459,0.012775185999999997,0.020256797,0.000142865,0.031788772,True,experiments/runs/E1_multi_mask/T2
T3,309ca40c494b4b7034a66ecfd15dd78cd5fad979a31e60b58dcd184699c4baa1,10ca8f29d166f6ebb65e21c132ee3fe8f5137c17bbeb2848cd71f47de089200c,2.771532807649409e-08,6.804066783264154e-08,2.8312206268310547e-07,143.35107653962956,1.0,1.0,0.004849069245080368,0.00792914628982544,0.016521763000000005,0.020523399,0.000289737,0.037229882,True,experiments/runs/E1_multi_mask/T3
T4,f29a8d39c538bbeebc284632b5b6d2db14a5c9bb74b7cf810de8889d09c34a0c,a5c7c27feb6124da36b4ce298d566a7eae98e11b83738bd0556ae2b63fa19d00,1.7102544848466816e-08,8.757697631250816e-08,2.980232238769531e-07,141.15378494595197,0.9999999846178946,1.0,0.0019701203509818964,0.0031231618486344814,0.012215025000000001,0.020470254,0.000201209,0.032386837,True,experiments/runs/E1_multi_mask/T4
T5,e98d265bf67c05bb0798b73b64fae5d899c8bfaaab41b3ff3ddb437e5cbcf0fa,0028f454086d65653a5cbca51579d62609c6be82178688288b27bd1633bf41b2,3.125076901582155e-08,8.022394452554314e-08,3.427267074584961e-07,141.97725885003055,0.9999999998947467,1.0,0.005383551015140624,0.008031845092773438,0.014952896,0.020644624,0.000300367,0.033343661,True,experiments/runs/E1_multi_mask/T5
T6,12c7c13b70670d9da63991f3a991da930dff339ae1bb08a6b550f27e4e446244,b9c9fbfec1da564613a54c2f56ff809bbbadccee5d9f1541a4750aed44f54dfb,3.58097911601903e-08,5.61036054916651e-08,3.5762786865234375e-07,145.04841416717258,1.0,1.0,0.006215798132846936,0.010165255516767502,0.012905679,0.020417385,0.00020021,0.034197984,True,experiments/runs/E1_multi_mask/T6
T7,295812f0d1b043cfa1862ac8016f98fd747356bee043f1e06445861dee7900c1,cccdc473074464173f11c7c3e7c79ab05650f262f7e3418143bbfaf00479f5d9,2.6207797169554023e-08,6.674744794063667e-08,1.9371509552001953e-07,143.52830996064736,0.9999999986397595,1.0,0.005028061116411074,0.008104250766336918,0.014961278000000001,0.02041711,0.00025898,0.034461363,True,experiments/runs/E1_multi_mask/T7
T8,7d2818812db5f672145ef8c47d266f7c6c19c9e280b29eef5ad7eb5944496d05,9b18ec32792f76bb983a5c4de4a374403abb5b42b5d2b395c3b04bf64fe3c101,2.039840801243203e-08,4.758458436243849e-08,2.384185791015625e-07,146.453168572393,0.999999979700841,1.0,0.0035033675416578742,0.005821019411087036,0.012503118999999998,0.020457766,0.000302811,0.034495767,True,experiments/runs/E1_multi_mask/T8
T9,f18e97062239af757aaf6efa950427aa61162a15b1ad798389f566cc9eae1592,22f6e1456c93c986e0a3137a2b26cdc9fba94b1cd56a1d29bd002ca31fe5afde,3.41046624086982e-08,7.759000016852985e-08,2.5331974029541016e-07,142.2464319312161,0.9999999981071664,1.0,0.00610282859613758,0.010641049593687057,0.014976511000000003,0.020342738,0.000171383,0.032308054,True,experiments/runs/E1_multi_mask/T9
T10,25dc7f0c8cddbfeb4c7f73e0209fbefb57553866f7b61f43148481ec7bb23214,8b50c2cbeb2c7cc6981c5802f6980bf1fd28d26609589d1864504848c96c321d,2.0976206824390064e-08,6.254820055661806e-08,2.682209014892578e-07,144.0774262745705,1.0,1.0,0.0034322223061263165,0.006246507167816162,0.015288611999999998,0.020393863,0.000294558,0.033164046,True,experiments/runs/E1_multi_mask/T10
