step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000085297,{}
load_golden_data,PASS,0.004304264,{}
pcie_h2c_write_mskf_r,PASS,0.005296260,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 755.2499318259341}"
pcie_h2c_write_mskf_i,PASS,0.006420025,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 623.0505334787849}"
pcie_h2c_write_scales,PASS,0.000144230,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.2644870911404129}"
pcie_h2c_write_krn_r,PASS,0.000195889,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 56.27919465520257}"
pcie_h2c_write_krn_i,PASS,0.000145633,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 75.70039179847646}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000173115,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000127967,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001127101,{}
fpga_compute,PASS,0.020457766,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000302811,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000454929,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T8/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.034495767,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002021631,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T8/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000725517,{}
load_golden_tcc_aerial,PASS,0.000903223,{}
compare_against_golden,PASS,0.090921435,{}
