step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000064155,{}
load_golden_data,PASS,0.004048835,{}
pcie_h2c_write_mskf_r,PASS,0.005389772,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 742.1464201670624}"
pcie_h2c_write_mskf_i,PASS,0.006080125,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 657.8812113072036}"
pcie_h2c_write_scales,PASS,0.000180198,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.21169476622677724}"
pcie_h2c_write_krn_r,PASS,0.000121714,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 90.57688478378934}"
pcie_h2c_write_krn_i,PASS,0.000209167,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 52.70657092379552}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000205189,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000181977,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001593316,{}
fpga_compute,PASS,0.020413629,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000171556,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000651067,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/annular_baseline/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.033664102,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002898945,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/annular_baseline/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000889349,{}
load_golden_tcc_aerial,PASS,0.000782629,{}
compare_against_golden,PASS,0.086462645,{}
