step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000066118,{}
load_golden_data,PASS,0.004956938,{}
pcie_h2c_write_mskf_r,PASS,0.005290794,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 756.0301917213156}"
pcie_h2c_write_mskf_i,PASS,0.005021732,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 796.5379272018282}"
pcie_h2c_write_scales,PASS,0.000042906,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.8890825858430326}"
pcie_h2c_write_krn_r,PASS,0.000036154,"{""address"": ""0x40880000"", ""bytes"": 6760, ""mib_per_second"": 178.316044699825}"
pcie_h2c_write_krn_i,PASS,0.000040385,"{""address"": ""0x40900000"", ""bytes"": 6760, ""mib_per_second"": 159.6344815359847}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000119097,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000085573,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.000697815,{}
fpga_compute,PASS,0.020623419,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000260266,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000620447,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/annular_na_0_6/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.033374020,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002930557,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/annular_na_0_6/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000733339,{}
load_golden_tcc_aerial,PASS,0.000899752,{}
compare_against_golden,PASS,0.086369218,{}
