step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000071081,{}
load_golden_data,PASS,0.004234790,{}
pcie_h2c_write_mskf_r,PASS,0.005527592,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 723.642410369921}"
pcie_h2c_write_mskf_i,PASS,0.006425659,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 622.5042438380282}"
pcie_h2c_write_scales,PASS,0.000106378,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.3585983251850606}"
pcie_h2c_write_krn_r,PASS,0.000108000,"{""address"": ""0x40880000"", ""bytes"": 9000, ""mib_per_second"": 79.47285956654022}"
pcie_h2c_write_krn_i,PASS,0.000224806,"{""address"": ""0x40900000"", ""bytes"": 9000, ""mib_per_second"": 38.17989143447822}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000197800,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000207336,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.000978951,{}
fpga_compute,PASS,0.020501731,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000259803,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000641398,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/cross_quadrupole/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.034892214,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.003058426,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/cross_quadrupole/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000958674,{}
load_golden_tcc_aerial,PASS,0.000925423,{}
compare_against_golden,PASS,0.084485305,{}
