step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000066324,{}
load_golden_data,PASS,0.003955904,{}
pcie_h2c_write_mskf_r,PASS,0.005408895,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 739.5225819525584}"
pcie_h2c_write_mskf_i,PASS,0.006158730,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 649.4845527577817}"
pcie_h2c_write_scales,PASS,0.000148682,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.2565675178283761}"
pcie_h2c_write_krn_r,PASS,0.000119022,"{""address"": ""0x40880000"", ""bytes"": 9000, ""mib_per_second"": 72.11329763149}"
pcie_h2c_write_krn_i,PASS,0.000134278,"{""address"": ""0x40900000"", ""bytes"": 9000, ""mib_per_second"": 63.92014490144067}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000155552,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000179161,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001244196,{}
fpga_compute,PASS,0.020674684,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000295121,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000546362,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/dipole_x/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.034623219,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002965509,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E4_optical_config/dipole_x/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000826034,{}
load_golden_tcc_aerial,PASS,0.000953801,{}
compare_against_golden,PASS,0.085330091,{}
