step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000078731,{}
load_golden_data,PASS,0.003965136,{}
pcie_h2c_write_mskf_r,PASS,0.005846227,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 684.2019644818095}"
pcie_h2c_write_mskf_i,PASS,0.006412326,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 623.7986027093111}"
pcie_h2c_write_scales,PASS,0.000070995,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.5373191169563368}"
pcie_h2c_write_krn_r,PASS,0.000066402,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 166.02625774677165}"
pcie_h2c_write_krn_i,PASS,0.000050319,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 219.0916874150766}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000117627,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000080403,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.000771994,{}
fpga_compute,PASS,0.020726270,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000358716,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000563333,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/source/host/full_platform/output/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.033450477,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.003017822,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/source/host/full_platform/output/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000918086,{}
load_golden_tcc_aerial,PASS,0.000923331,{}
compare_against_golden,PASS,0.086550227,{}
