step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000083611,{}
load_golden_data,PASS,0.003907580,{}
pcie_h2c_write_mskf_r,PASS,0.005745540,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 696.1921768859867}"
pcie_h2c_write_mskf_i,PASS,0.007804681,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 512.5129393475726}"
pcie_h2c_write_scales,PASS,0.000098732,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.38636888413128506}"
pcie_h2c_write_krn_r,PASS,0.000100908,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 109.25273609370244}"
pcie_h2c_write_krn_i,PASS,0.000071889,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 153.35413070740634}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000125245,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000107570,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001020686,{}
fpga_compute,PASS,0.020517466,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000293438,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000597143,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/source/host/full_platform/output/fpga_tmpimgp_full_128.bin""}"
compare_tmpimgp_only,PASS,0.003696691,{}
